OBJECTID,Station Identification,Observation Date/Time,Station Name,Country Name,Station Elevation (Meters),Air Temperature (°F),Dew Point Temperature (°F),Relative Humidity (%),Wind Origin (Degrees),Wind Speed (km/h),Wind Gust (km/h),Wind Chill (°F),Horizontal Visibility (Meters),Altimeter Pressure (Millibars),Sky Conditions,Weather Conditions,Remarks,Heat Feels Like (°F),Location Latitude (DD),Location Longitude (DD),x,y
1198,OSDI,11/10/2019 2:00:00 AM,Damascus (Civ/Mi,"Syria, Syrian Arab Republic",605,53.6,32,44,20,11,0,,10000,1019.9,Ceiling and Visibility are OK,No significant weather present at this time.,,,33.42,36.52,36.5200000002664,33.4199999999259
1199,SBMQ,11/10/2019 2:00:00 AM,Macapa Intl Airp,Brazil,15,84.2,78.8,84,60,15,0,,10000,1008.9,Scattered Clouds at 460 meters AGL,No significant weather present at this time.,,96.1,0.05,-51.07,-51.0699999998879,0.0499999995857106
1200,SBSL,11/10/2019 2:00:00 AM,Sao Luis/Marecha,Brazil,53,80.6,75.2,84,40,17,0,,10000,1009.9,Ceiling and Visibility are OK,No significant weather present at this time.,,86.2,-2.6,-44.22,-44.2200000001926,-2.59999999998289
1201,SCEL,11/10/2019 2:00:00 AM,Pudahuel/Arturo,Chile,476,75.2,39.2,27,140,15,0,,10000,1011.9,Ceiling and Visibility are OK,No significant weather present at this time.,,75,-33.37,-70.77,-70.7699999996409,-33.3700000000513
1202,TUPJ,11/10/2019 2:00:00 AM,Beef Isl/Roadtow,"Virgin Islands, Virgin Islands (U.S.)",4,82.4,75.2,79,110,13,0,,16000,1013.9,Few Clouds at 610 meters AGL,No significant weather present at this time.,,89.5,18.43,-64.52,-64.5200000001616,18.4300000001462
1203,PAAK,11/10/2019 1:59:00 AM,Atka,"Alaska, United States Of America",17,42.8,41,93,0,0,0,62.3,4800,998.6,Overcast Cloud Deck at 370 meters AGL,"Light Rain, Mist",* Maintenance REQUIRED - readings may be compromised *,,52.22,-174.2,-174.200000000105,52.2199999998565
1204,KCNB,11/10/2019 1:59:00 AM,Canby/Myers Fld,"Minnesota, United States Of America",364,34.3,29.8,83,340,7,0,30.2,16000,1015.2,"Scattered Clouds at 640 meters AGL, Broken Clouds at 2900 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,44.73,-96.27,-96.2700000002834,44.7299999998455
1205,KJMR,11/10/2019 1:59:00 AM,Mora,"Minnesota, United States Of America",309,32,30.2,93,280,6,0,28.7,11000,1013.2,"Scattered Clouds at 400 meters AGL, Broken Clouds at 550 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,45.88,-93.27,-93.2700000001022,45.8799999999121
1206,MTPP,11/10/2019 1:59:00 AM,Port-Au-Prince,Haiti,37,80.6,71.6,74,130,20,0,,9000,1011.9,,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,84.6,18.57,-72.28,-72.2799999996603,18.5699999996925
1207,KTOB,11/10/2019 1:59:00 AM,Dodge Center,"Minnesota, United States Of America",398,35.6,30.2,80,280,17,0,28,16000,1012.5,"Scattered Clouds at 1500 meters AGL, Overcast Cloud Deck at 3400 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,44.02,-92.82,-92.8199999997156,44.0199999998884
1208,K14Y,11/10/2019 1:59:00 AM,Long Prairie,"Minnesota, United States Of America",406,30.2,28.4,93,320,9,0,24.3,16000,1013.9,"Scattered Clouds at 300 meters AGL, Broken Clouds at 3700 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,45.9,-94.87,-94.8700000003785,45.8999999999757
1209,KNOZ,11/10/2019 1:59:00 AM,,,103,78.1,28,16,350,13,0,,16000,1013.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,74.7,32.5,-114.45,-114.450000000088,32.4999999997845
1210,KNGU,11/10/2019 1:59:00 AM,Norfolk Nas/Cham,"Virginia, United States Of America",5,37,33.1,85,0,0,0,58.7,16000,1023.4,Scattered Clouds at 9100 meters AGL,No significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,36.92,-76.27,-76.2699999999733,36.919999999914
1211,KP92,11/10/2019 1:59:00 AM,Salt Point,"Louisiana, United States Of America",1,51.1,43,74,0,0,0,,,1022.3,,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,29.57,-91.53,-91.5299999999252,29.570000000174
1212,KTOA,11/10/2019 1:59:00 AM,Torrance Municip,"California, United States Of America",31,71.6,37.4,29,270,20,0,,16000,1013.9,Clear Skies,No significant weather present at this time.,,73.7,33.78,-118.32,-118.320000000358,33.7800000002488
1213,KHZX,11/10/2019 1:59:00 AM,Mcgregor/Iverson,"Minnesota, United States Of America",374,32,28.4,86,300,13,0,24.8,16000,1012.5,"Broken Clouds at 520 meters AGL, Overcast Cloud Deck at 670 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,46.62,-93.32,-93.3199999997459,46.619999999813
1214,KVOK,11/10/2019 1:59:00 AM,Volk/Camp Dougla,"Wisconsin, United States Of America",277,35.6,35.6,100,0,0,0,57.9,16000,1010.8,Few Clouds at 1700 meters AGL,Light Rain,,,43.92,-90.27,-90.2699999999209,43.9199999999139
1215,KGDB,11/10/2019 1:59:00 AM,Granite Falls,"Minnesota, United States Of America",319,35.6,31.6,85,340,9,0,30.7,16000,1015.2,"Broken Clouds at 1400 meters AGL, Broken Clouds at 1700 meters AGL, Overcast Cloud Deck at 3400 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,44.75,-95.55,-95.5500000000243,44.7499999999303
1216,KACQ,11/10/2019 1:59:00 AM,Waseca,"Minnesota, United States Of America",343,33.8,32,93,270,6,0,30.7,16000,1013.5,Overcast Cloud Deck at 3400 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,44.07,-93.55,-93.5499999999035,44.0699999998977
1217,KDZB,11/10/2019 1:58:00 AM,Horseshoe Bay,"Texas, United States Of America",334,59,48.2,67,170,6,0,,16000,1021.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.53,-98.37,-98.3699999996917,30.5299999999656
1218,PWAK,11/10/2019 1:58:00 AM,Wake Island Airf,"Johnston/Wake/Xmas, United States Of America",4,87.1,72.3,62,70,19,0,,10000,1009.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,94.1,19.28,166.65,166.650000000009,19.2799999995889
1219,KT70,11/10/2019 1:58:00 AM,Laughlin Afb/Aux,"Texas, United States Of America",298,57,53.1,87,120,9,0,,16000,1020,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,29.12,-100.48,-100.479999999927,29.1199999999956
1220,KSXS,11/10/2019 1:58:00 AM,Ft Rucker/Shell,"Alabama, United States Of America",122,50.4,44.1,79,0,0,0,,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.37,-85.85,-85.8499999999772,31.370000000095
1221,KPOE,11/10/2019 1:58:00 AM,Fort Polk Fr,"Louisiana, United States Of America",101,45.9,41.9,86,0,0,0,64.2,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.05,-93.2,-93.1999999997027,31.0499999999184
1222,KLOR,11/10/2019 1:58:00 AM,Lowe Ahp/Ft. Ruc,"Alabama, United States Of America",74,45.9,45.3,98,0,0,0,64.2,16000,1022.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.35,-85.75,-85.7499999997915,31.3500000003519
1223,KHUA,11/10/2019 1:58:00 AM,Redstone Arsenal,"Alabama, United States Of America",209,41.7,32,68,190,7,0,38.8,16000,1021.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,34.68,-86.68,-86.6800000003508,34.6799999996933
1224,KHLR,11/10/2019 1:58:00 AM,Ft Hood/Killeen,"Texas, United States Of America",283,55.2,48.4,78,160,7,0,,14000,1021.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.13,-97.72,-97.7199999998321,31.1300000002406
1225,KHEY,11/10/2019 1:58:00 AM,Ft Rucker/Hanche,"Alabama, United States Of America",97,46,44.2,93,0,0,0,64.3,16000,1022,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.35,-85.65,-85.6499999996058,31.3500000003519
1226,KGRK,11/10/2019 1:58:00 AM,Gray/Ft Hood,"Texas, United States Of America",309,54.7,48.4,79,0,0,0,,16000,1021,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,31.07,-97.83,-97.8299999999465,31.069999999802
1227,KGFA,11/10/2019 1:58:00 AM,Malmstrom Afb,"Montana, United States Of America",1075,28.8,28,97,350,11,0,21.6,16000,1022,Overcast Cloud Deck at 150 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,47.5,-111.17,-111.170000000106,47.5000000001591
1228,K1JW,11/10/2019 1:58:00 AM,,,1380,44.4,16.5,32,20,17,0,39,16000,1017.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,40.97,-103.2,-103.200000000307,40.9699999998447
1229,K1OM,11/10/2019 1:58:00 AM,,,1086,32,32,100,70,17,0,23.5,610,1020,Overcast Cloud Deck at 270 meters AGL,"Light Rain, Fog",* Maintenance REQUIRED - readings may be compromised *,,47.33,-108.93,-108.929999999899,47.3300000000573
1230,K1AW,11/10/2019 1:58:00 AM,,,1667,39.2,19.2,44,360,19,0,32,16000,1018.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,41.33,-104.27,-104.269999999869,41.3299999997965
1231,PHSF,11/10/2019 1:58:00 AM,Bradshaw Aaf/Haw,"Hawaii, United States Of America",1887,66.9,49.6,54,0,0,0,,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,19.77,-155.55,-155.550000000057,19.7699999997045
1232,PAFR,11/10/2019 1:58:00 AM,Bryant Army Af,"Alaska, United States Of America",115,30.4,29.7,97,0,0,0,54.6,16000,1015.9,Few Clouds at 1700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,61.27,-149.65,-149.64999999988,61.2700000002157
1233,KSAZ,11/10/2019 1:58:00 AM,Staples,"Minnesota, United States Of America",392,26.6,26.6,100,300,11,0,19,16000,1013.5,"Scattered Clouds at 490 meters AGL, Scattered Clouds at 3000 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,46.37,-94.8,-94.799999999979,46.3699999997377
1234,KROG,11/10/2019 1:58:00 AM,Rogers,"Arkansas, United States Of America",415,50,42.1,74,200,17,0,45.9,16000,1018.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,36.37,-94.08,-94.0799999997199,36.370000000159
1235,KMZH,11/10/2019 1:58:00 AM,Moose Lake,"Minnesota, United States Of America",328,32,28.4,86,300,7,0,27.4,16000,1011.8,Broken Clouds at 1400 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,46.42,-92.8,-92.7999999998582,46.4200000000957
1236,KLYV,11/10/2019 1:58:00 AM,Luverne,"Minnesota, United States Of America",436,35.6,32,87,40,7,0,31.6,16000,1012.9,Overcast Cloud Deck at 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,43.62,-96.22,-96.2199999997414,43.6199999996841
1237,KHZL,11/10/2019 1:58:00 AM,Hazleton,"Pennsylvania, United States Of America",489,32,15.8,51,180,6,0,28.7,16000,1020.3,Overcast Cloud Deck at 2600 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.98,-76,-76.0000000001007,40.9799999997718
1238,KAUM,11/10/2019 1:58:00 AM,Austin Muni,"Minnesota, United States Of America",375,37.4,28.4,70,310,15,0,30.8,16000,1012.9,Broken Clouds at 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,43.67,-92.92,-92.9199999999014,43.669999999957
1239,PAFB,11/10/2019 1:58:00 AM,Fort Wainwright,"Alaska, United States Of America",137,1.9,-0.6,89,0,0,0,36.9,13000,1021,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,64.83,-147.62,-147.619999999973,64.8300000000697
1240,K0J4,11/10/2019 1:58:00 AM,Florala Muni,"Alabama, United States Of America",96,48,43,83,0,0,0,65.6,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.05,-86.32,-86.3200000002212,31.0499999999184
1241,KGOV,11/10/2019 1:58:00 AM,Grayling Af,"Michigan, United States Of America",353,33.8,29.8,85,220,9,0,28.5,14000,1009.1,Overcast Cloud Deck at 580 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,44.68,-84.73,-84.7299999998736,44.6799999999879
1242,KBDH,11/10/2019 1:58:00 AM,Willmar Muni,"Minnesota, United States Of America",247,33.8,30.2,86,310,9,0,28.5,11000,1014.9,Overcast Cloud Deck at 1500 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,45.12,-95.13,-95.1300000003224,45.1199999998695
1243,KHVR,11/10/2019 1:58:00 AM,Havre,"Montana, United States Of America",787,25,23,92,30,19,0,14.2,1600,1023.4,Obscured Sky,"Light Snow, Mist","* Maintenance REQUIRED - readings may be compromised *, Hourly Precipitation Amount: trace",,48.55,-109.77,-109.770000000201,48.5499999997565
1244,KMEI,11/10/2019 1:58:00 AM,Meridian/Key Fld,"Mississippi, United States Of America",89,43,39,86,0,0,0,62.4,16000,1023,Sky Clear below 3700 meters AGL,No significant weather present at this time.,,,32.33,-88.75,-88.7499999999728,32.3300000000025
1245,KMRH,11/10/2019 1:58:00 AM,Beaufort,"North Carolina, United States Of America",3,45,41,86,60,6,0,43.5,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.73,-76.65,-76.6499999999603,34.7299999997747
1246,KSLE,11/10/2019 1:58:00 AM,Salem,"Oregon, United States Of America",59,48,44.1,86,0,0,0,65.6,16000,1023,Broken Clouds at 730 meters AGL,No significant weather present at this time.,,,44.9,-123,-123.000000000246,44.8999999999532
1247,MUCF,11/10/2019 1:58:00 AM,Cienfuegos(Civ/M,Cuba,39,75.2,73.4,94,60,9,0,,,1013.9,,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,22.13,-80.4,-80.4000000001869,22.1299999998729
1248,K1EM,11/10/2019 1:58:00 AM,,,1116,34.2,32.9,95,330,9,0,29,16000,1020,Overcast Cloud Deck at 120 meters AGL,Showers of Light Rain,* Maintenance REQUIRED - readings may be compromised *,,47.45,-109.42,-109.42,47.4499999998272
1249,K1JM,11/10/2019 1:58:00 AM,,,1152,24.8,24.4,99,340,24,0,12.3,8000,1020.6,Broken Clouds at 60 meters AGL,Mist,* Maintenance REQUIRED - readings may be compromised *,,47.75,-111.55,-111.550000000093,47.7500000000165
1250,K1KM,11/10/2019 1:58:00 AM,,,1330,42.3,34.7,74,10,26,0,34.4,16000,1016.9,Broken Clouds at 2300 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,46.45,-109.8,-109.799999999987,46.4499999999335
1251,K1LW,11/10/2019 1:58:00 AM,,,1519,48.7,18.3,30,360,24,0,43,16000,1018.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,40.92,-103.7,-103.700000000337,40.919999999824
1252,K1MM,11/10/2019 1:58:00 AM,,,1256,34.9,33.4,94,360,9,0,29.8,11000,1019.6,"Broken Clouds at 60 meters AGL, Broken Clouds at 460 meters AGL",Rain,"* Maintenance REQUIRED - readings may be compromised *, Hourly Precipitation Amount: 0.0 in",,47.02,-109.63,-109.6300000003,47.0200000000398
1253,K1MW,11/10/2019 1:58:00 AM,,,1336,48.2,14.4,25,0,0,0,65.7,16000,1017.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,40.7,-103.48,-103.480000000108,40.7000000000803
1254,K1NM,11/10/2019 1:58:00 AM,,,1161,34.7,35.1,101,70,13,0,28.1,610,1018.9,Obscured Sky,"Light Rain, Fog",* Maintenance REQUIRED - readings may be compromised *,,47.07,-109.03,-109.030000000084,47.0699999999888
1255,K4MR,11/10/2019 1:58:00 AM,Melrose G Range,"New Mexico, United States Of America",1326,54.5,37,52,230,31,0,,16000,1020.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,34.3,-103.8,-103.799999999625,34.2999999999447
1256,K9L2,11/10/2019 1:58:00 AM,Edwards N-Aux,"California, United States Of America",701,59.2,2.5,10,270,11,0,,13000,1017.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,34.97,-117.87,-117.869999999972,34.9700000001732
1257,KABH,11/10/2019 1:58:00 AM,Ellicott-B Afa,"Colorado, United States Of America",1840,43.7,25.7,49,0,0,0,62.9,16000,1020.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,38.75,-104.3,-104.299999999655,38.7500000003228
1258,KAFF,11/10/2019 1:58:00 AM,Usaf Academy/Cos,"Colorado, United States Of America",2003,40.3,23.2,50,10,13,0,34.9,16000,1020.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,38.97,-104.82,-104.820000000441,38.9700000003035
1259,KBYS,11/10/2019 1:58:00 AM,Bicycle Lake,"California, United States Of America",716,62.1,4.8,10,30,6,0,,16000,1017.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,35.28,-116.62,-116.619999999896,35.2799999998543
1260,KCVS,11/10/2019 1:58:00 AM,Cannon Afb/Clovi,"New Mexico, United States Of America",1309,45.9,33.6,62,230,15,0,41.2,16000,1021,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,34.37,-103.32,-103.32000000035,34.3700000003676
1261,KDMA,11/10/2019 1:58:00 AM,Davis/Tucson,"Arizona, United States Of America",824,71.6,46,40,0,0,0,,16000,1016.6,Few Clouds at 2600 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,75.2,32.17,-110.87,-110.870000000447,32.1700000001561
1262,K1DM,11/10/2019 1:58:00 AM,,,1093,31.8,30.2,94,330,13,0,24.6,16000,1019.6,Overcast Cloud Deck at 150 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,47.33,-109.95,-109.949999999816,47.3300000000573
1263,K1GM,11/10/2019 1:58:00 AM,,,1311,27.9,27.9,100,40,11,0,20.5,610,1019.6,Obscured Sky,"Light Freezing Rain, Freezing Fog",* Maintenance REQUIRED - readings may be compromised *,,47.33,-112.1,-112.099999999767,47.3300000000573
1264,K1FM,11/10/2019 1:58:00 AM,,,1116,26.6,,,30,17,0,16.8,210,1020,Obscured Sky,"Light Freezing Rain, Freezing Fog",* Maintenance REQUIRED - readings may be compromised *,,47.6,-112.32,-112.319999999996,47.6000000001208
1265,K1BM,11/10/2019 1:58:00 AM,,,1234,31.3,31.6,101,40,7,0,26.6,2000,1020.3,Obscured Sky,"Light Rain, Light Snow, Mist",* Maintenance REQUIRED - readings may be compromised *,,47.28,-110.37,-110.370000000417,47.2799999998251
1266,K1AM,11/10/2019 1:58:00 AM,,,1219,30.2,,,270,15,0,21.9,3000,1020.6,Obscured Sky,"Showers of Light Rain, Mist",* Maintenance REQUIRED - readings may be compromised *,,47.28,-110.8,-110.800000000048,47.2799999998251
1267,KBJI,11/10/2019 1:58:00 AM,Bemidji,"Minnesota, United States Of America",420,26.4,21.4,81,310,28,33,13.5,16000,1013.2,Overcast Cloud Deck at 460 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,47.5,-94.92,-94.9200000000222,47.5000000001591
1268,K1J0,11/10/2019 1:58:00 AM,Bonifay Tri-Cty,"Florida, United States Of America",26,46,44.1,93,0,0,0,64.3,16000,1023,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,30.85,-85.6,-85.5999999999621,30.849999999621
1269,KSEQ,11/10/2019 1:58:00 AM,,,160,54.1,47.1,77,0,0,0,,16000,1024,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,29.57,-97.9,-97.900000000346,29.570000000174
1270,KBAB,11/10/2019 1:58:00 AM,Beale Afb/Marysv,"California, United States Of America",34,62.4,33.6,34,90,7,0,,8000,1016.6,Sky Clear below 3700 meters AGL,Haze,* Maintenance REQUIRED - readings may be compromised *,,39.12,-121.42,-121.419999999827,39.1199999996769
1271,K1YT,11/10/2019 1:58:00 AM,Yagabond Aaf,"Washington, United States Of America",438,44.6,33.3,64,0,0,0,63.4,16000,1020.6,Broken Clouds at 2300 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,46.67,-120.45,-120.449999999553,46.6699999999249
1272,KFEW,11/10/2019 1:58:00 AM,Warren Air Base,"Wyoming, United States Of America",1878,47.5,10.4,22,280,9,0,44.8,16000,1019.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,41.13,-104.87,-104.870000000084,41.1299999997845
1273,KFCS,11/10/2019 1:58:00 AM,Fort Carson,"Colorado, United States Of America",1789,47.3,25.3,42,340,15,0,43,16000,1019.3,Sky Clear below 3700 meters AGL,No significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,38.67,-104.77,-104.769999999899,38.6700000001845
1274,KEDW,11/10/2019 1:58:00 AM,Edwards Afb,"California, United States Of America",702,61.2,9.9,13,260,9,0,,16000,1017.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.88,-117.87,-117.869999999972,34.8800000000291
1275,K1OW,11/10/2019 1:58:00 AM,,,1649,45.9,16.9,31,10,19,0,40.3,16000,1018.6,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,40.88,-104,-103.999999999996,40.8800000003352
1276,K1IM,11/10/2019 1:58:00 AM,,,1108,30.4,30.2,99,10,15,0,22.1,13000,1021,Overcast Cloud Deck at 120 meters AGL,Light Drizzle,"* Maintenance REQUIRED - readings may be compromised *, Pressure Falling Rapidly",,47.32,-111.47,-111.469999999765,47.3200000002414
1277,K1CM,11/10/2019 1:58:00 AM,,,1337,31.8,32,101,30,9,0,26.2,1000,1019.6,Obscured Sky,"Light Snow, Fog","* Maintenance REQUIRED - readings may be compromised *, Hourly Precipitation Amount: 0.0 in",,47.1,-110.17,-110.170000000045,47.1000000000624
1278,KFHU,11/10/2019 1:58:00 AM,Fort Huachuca,"Arizona, United States Of America",1438,63.9,45.3,51,260,7,0,,16000,1021.3,Few Clouds at 2000 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,31.58,-110.35,-110.349999999661,31.5799999996629
1279,KINS,11/10/2019 1:58:00 AM,Indian Springs,"Nevada, United States Of America",955,58.6,2.1,10,300,6,0,,16000,1018.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,36.58,-115.67,-115.670000000378,36.5800000002172
1280,KHMN,11/10/2019 1:58:00 AM,Holloman Afb,"New Mexico, United States Of America",1248,53.2,41.7,65,10,9,0,,16000,1021.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,32.85,-106.08,-106.080000000445,32.8500000000985
1281,KHIF,11/10/2019 1:58:00 AM,Hill Afb/Ogden,"Utah, United States Of America",1459,48.4,29.1,47,340,6,0,47.4,16000,1022,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,41.12,-111.97,-111.969999999795,41.120000000299
1282,KGXA,11/10/2019 1:58:00 AM,Palmdale,"California, United States Of America",923,58.5,8.4,13,180,11,0,,16000,1018.3,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,34.57,-117.67,-117.6699999996,34.5700000002807
1283,KGRF,11/10/2019 1:58:00 AM,Fort Lewis/Gray,"Washington, United States Of America",92,50.7,50.7,100,0,0,0,,6400,1022.3,"Broken Clouds at 150 meters AGL, Broken Clouds at 300 meters AGL, Overcast Cloud Deck at 490 meters AGL",Mist,"* Maintenance REQUIRED - readings may be compromised *, Hourly Precipitation Amount: 0.0 in",,47.07,-122.57,-122.569999999717,47.0699999999888
1284,KLUF,11/10/2019 1:58:00 AM,Luke Afb/Glendal,"Arizona, United States Of America",332,71.2,48.2,44,310,9,0,,16000,1013.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,75.5,33.52,-112.37,-112.369999999639,33.5199999996312
1285,KLSV,11/10/2019 1:58:00 AM,Las Vegas/Nellis,"Nevada, United States Of America",570,62.2,12.4,14,40,9,0,,16000,1016.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,36.22,-115.02,-115.01999999962,36.220000000113
1286,KSLI,11/10/2019 1:58:00 AM,Los Alamitos Aaf,"California, United States Of America",11,69.8,40.8,35,0,0,0,,16000,1013.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,33.77,-118.03,-118.02999999973,33.7700000003178
1287,KRIV,11/10/2019 1:58:00 AM,Riverside/March,"California, United States Of America",469,69.8,25.7,19,290,13,0,,16000,1015.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,33.87,-117.27,-117.269999999756,33.8700000003548
1288,KVBG,11/10/2019 1:58:00 AM,Vandenberg Afb,"California, United States Of America",112,53.8,52,94,,0,0,,,1016.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,34.73,-120.58,-120.580000000423,34.7299999997747
